
活动连接

  协议  本地地址          外部地址        状态           PID
  UDP    127.0.0.1:57353        *:*                                    23572
  UDP    127.0.0.1:57354        *:*                                    23572
  UDP    127.0.0.1:57355        *:*                                    23572
  UDP    127.0.0.1:63285        *:*                                    6992
  UDP    127.0.0.1:63286        *:*                                    6992
  UDP    127.0.0.1:63287        *:*                                    7040
  UDP    172.21.32.1:137        *:*                                    4
  UDP    172.21.32.1:138        *:*                                    4
  UDP    172.21.32.1:1900       *:*                                    4980
  UDP    172.21.32.1:5353       *:*                                    7008
  UDP    172.21.32.1:49998      *:*                                    4980
  UDP    172.31.112.1:67        *:*                                    3696
  UDP    172.31.112.1:68        *:*                                    3696
  UDP    172.31.112.1:137       *:*                                    4
  UDP    172.31.112.1:138       *:*                                    4
  UDP    172.31.112.1:1900      *:*                                    4980
  UDP    172.31.112.1:5353      *:*                                    7008
  UDP    172.31.112.1:49997     *:*                                    4980
  UDP    192.168.31.33:137      *:*                                    4
  UDP    192.168.31.33:138      *:*                                    4
  UDP    192.168.31.33:1900     *:*                                    4980
  UDP    192.168.31.33:5353     *:*                                    7008
  UDP    192.168.31.33:49995    *:*                                    4980
  UDP    [::]:7                 *:*                                    7188
  UDP    [::]:9                 *:*                                    7188
  UDP    [::]:13                *:*                                    7188
  UDP    [::]:17                *:*                                    7188
  UDP    [::]:19                *:*                                    7188
  UDP    [::]:500               *:*                                    7328
  UDP    [::]:3389              *:*                                    1812
  UDP    [::]:3702              *:*                                    3720
  UDP    [::]:3702              *:*                                    3720
  UDP    [::]:3702              *:*                                    4992
  UDP    [::]:3702              *:*                                    4992
  UDP    [::]:4500              *:*                                    7328
  UDP    [::]:5353              *:*                                    15448
  UDP    [::]:5353              *:*                                    1440
  UDP    [::]:5353              *:*                                    15448
  UDP    [::]:5353              *:*                                    3516
  UDP    [::]:5353              *:*                                    1440
  UDP    [::]:54162             *:*                                    4992
  UDP    [::]:54369             *:*                                    3720
  UDP    [::]:58624             *:*                                    3696
  UDP    [::]:63284             *:*                                    7008
  UDP    [::]:63953             *:*                                    3696
  UDP    [::1]:1900             *:*                                    4980
  UDP    [::1]:5353             *:*                                    7008
  UDP    [::1]:49992            *:*                                    4980
  UDP    [fe80::d1fc:fd0b:79c2:8299%46]:1900  *:*                                    4980
  UDP    [fe80::d1fc:fd0b:79c2:8299%46]:49993  *:*                                    4980
  UDP    [fe80::f8d2:9281:85e1:8d15%66]:1900  *:*                                    4980
  UDP    [fe80::f8d2:9281:85e1:8d15%66]:49994  *:*                                    4980
